experiment_id,experiment_name,team,feature_category,p_value,decision,true_effect_type,was_peeked,p_value_bin
EXP-0001,Interactive data viz in reports,Monetization,Content-Format,0.100785,inconclusive,medium_positive,True,"(0.1, 0.15]"
EXP-0002,Trial extension offer at day 6,Monetization,Pricing/Paywall,0.53355,kill,,False,"(0.5, 0.55]"
EXP-0003,Push notification frequency (2x vs 1x daily),Content-Algo,Notifications,0.493342,kill,,False,"(0.45, 0.5]"
EXP-0004,Collaborative filtering v2 rollout,Growth,Recommendation-Algo,0.878729,inconclusive,,True,"(0.85, 0.9]"
EXP-0005,Social proof (X readers joined today),Monetization,Onboarding-Flow,0.508918,kill,small_positive,False,"(0.5, 0.55]"
EXP-0006,Re-engagement push after 3 days inactive,Monetization,Notifications,0.56079,kill,negative,True,"(0.55, 0.6]"
EXP-0007,Dark mode default for night readers,Growth,UI/UX,0.662568,inconclusive,medium_positive,True,"(0.65, 0.7]"
EXP-0008,Breaking news vs digest bundling,Growth,Notifications,0.704947,kill,small_positive,True,"(0.7, 0.75]"
EXP-0009,Diversity injection in feed (20%),Content-Algo,Recommendation-Algo,0.00019,ship,medium_positive,True,"(0.0, 0.05]"
EXP-0010,Audio narration toggle for articles,Monetization,Content-Format,0.481615,inconclusive,negative,False,"(0.45, 0.5]"
EXP-0011,Reading progress indicator,Engagement,UI/UX,0.543195,kill,,True,"(0.5, 0.55]"
EXP-0012,First-session content sampler,Engagement,Onboarding-Flow,0.058776,inconclusive,negative,False,"(0.05, 0.1]"
EXP-0013,Re-engagement push after 3 days inactive,Engagement,Notifications,0.639492,inconclusive,,False,"(0.6, 0.65]"
EXP-0014,Personalized send-time optimization,Content-Algo,Notifications,0.000819,ship,medium_positive,False,"(0.0, 0.05]"
EXP-0015,First-session content sampler,Growth,Onboarding-Flow,0.165818,kill,,True,"(0.15, 0.2]"
EXP-0016,Floating video player on scroll,Monetization,UI/UX,0.429892,inconclusive,,True,"(0.4, 0.45]"
EXP-0017,Breaking news vs digest bundling,Engagement,Notifications,0.498199,inconclusive,small_positive,False,"(0.45, 0.5]"
EXP-0018,Remove ads upsell placement,Engagement,Pricing/Paywall,7.9e-05,ship,small_positive,False,"(0.0, 0.05]"
EXP-0019,Guided tour vs self-explore,Content-Algo,Onboarding-Flow,0.143996,inconclusive,small_positive,True,"(0.1, 0.15]"
EXP-0020,Simplified article header layout,Growth,UI/UX,0.139319,inconclusive,,False,"(0.1, 0.15]"
EXP-0021,Headline A/B: question vs statement,Engagement,Content-Format,0.299169,inconclusive,,True,"(0.25, 0.3]"
EXP-0022,In-app notification center redesign,Growth,Notifications,0.612037,kill,small_positive,False,"(0.6, 0.65]"
EXP-0023,Topic preference quiz at signup,Content-Algo,Onboarding-Flow,0.476645,inconclusive,small_positive,False,"(0.45, 0.5]"
EXP-0024,Short-form video summaries on articles,Monetization,Content-Format,0.190244,kill,,False,"(0.15, 0.2]"
EXP-0025,Annual plan discount (30% vs 20%),Content-Algo,Pricing/Paywall,0.604381,kill,,False,"(0.6, 0.65]"
EXP-0026,Floating video player on scroll,Engagement,UI/UX,0.893848,kill,,True,"(0.85, 0.9]"
EXP-0027,Bottom nav bar redesign,Engagement,UI/UX,0.563959,inconclusive,,False,"(0.55, 0.6]"
EXP-0028,Similar-author suggestions widget,Monetization,Recommendation-Algo,0.766931,inconclusive,,False,"(0.75, 0.8]"
EXP-0029,Interactive data viz in reports,Content-Algo,Content-Format,2.6e-05,ship,medium_positive,True,"(0.0, 0.05]"
EXP-0030,Card-based feed vs list view,Engagement,UI/UX,0.514894,kill,,False,"(0.5, 0.55]"
EXP-0031,Social proof (X readers joined today),Monetization,Onboarding-Flow,0.189745,inconclusive,,True,"(0.15, 0.2]"
EXP-0032,Topic preference quiz at signup,Monetization,Onboarding-Flow,0.310508,inconclusive,small_positive,False,"(0.3, 0.35]"
EXP-0033,Reading progress indicator,Content-Algo,UI/UX,0.15955,kill,negative,True,"(0.15, 0.2]"
EXP-0034,Short-form video summaries on articles,Growth,Content-Format,0.71616,inconclusive,small_positive,True,"(0.7, 0.75]"
EXP-0035,Topic preference quiz at signup,Content-Algo,Onboarding-Flow,0.0,ship,medium_positive,True,
EXP-0036,Audio narration toggle for articles,Engagement,Content-Format,0.175391,inconclusive,,False,"(0.15, 0.2]"
EXP-0037,Newsletter digest format change,Content-Algo,Content-Format,0.685915,inconclusive,small_positive,True,"(0.65, 0.7]"
EXP-0038,Re-engagement push after 3 days inactive,Content-Algo,Notifications,0.008755,ship,small_positive,True,"(0.0, 0.05]"
EXP-0039,Bottom nav bar redesign,Growth,UI/UX,0.599318,kill,,True,"(0.55, 0.6]"
EXP-0040,Floating video player on scroll,Monetization,UI/UX,0.147415,kill,medium_positive,True,"(0.1, 0.15]"
EXP-0041,Email subject line: emoji vs no emoji,Engagement,Notifications,0.14798,kill,small_positive,True,"(0.1, 0.15]"
EXP-0042,Trial extension offer at day 6,Engagement,Pricing/Paywall,0.066248,inconclusive,small_positive,True,"(0.05, 0.1]"
EXP-0043,Collaborative filtering v2 rollout,Content-Algo,Recommendation-Algo,0.704605,kill,,True,"(0.7, 0.75]"
EXP-0044,Cross-category recommendations,Monetization,Recommendation-Algo,0.790339,inconclusive,,True,"(0.75, 0.8]"
EXP-0045,Trial extension offer at day 6,Content-Algo,Pricing/Paywall,0.0,ship,medium_positive,False,
EXP-0046,Remove ads upsell placement,Growth,Pricing/Paywall,0.003,ship,medium_positive,True,"(0.0, 0.05]"
EXP-0047,Thumbnail size increase (1.5x),Growth,Content-Format,0.818742,inconclusive,,True,"(0.8, 0.85]"
EXP-0048,Newsletter digest format change,Content-Algo,Content-Format,0.605498,inconclusive,,True,"(0.6, 0.65]"
EXP-0049,Onboarding email drip: 3-day vs 7-day,Engagement,Onboarding-Flow,0.729772,kill,,False,"(0.7, 0.75]"
EXP-0050,Cold-start user recs via trending,Monetization,Recommendation-Algo,0.566838,kill,small_positive,False,"(0.55, 0.6]"
EXP-0051,Student tier pricing test,Growth,Pricing/Paywall,0.503627,kill,small_positive,False,"(0.5, 0.55]"
EXP-0052,Re-engagement push after 3 days inactive,Growth,Notifications,0.268241,kill,small_positive,False,"(0.25, 0.3]"
EXP-0053,Floating video player on scroll,Growth,UI/UX,0.109929,kill,medium_positive,False,"(0.1, 0.15]"
EXP-0054,Push notification frequency (2x vs 1x daily),Growth,Notifications,0.164954,inconclusive,,False,"(0.15, 0.2]"
EXP-0055,Interactive data viz in reports,Monetization,Content-Format,0.487669,inconclusive,negative,False,"(0.45, 0.5]"
EXP-0056,Soft paywall at 5 articles vs 3,Growth,Pricing/Paywall,0.108402,inconclusive,small_positive,True,"(0.1, 0.15]"
EXP-0057,Cold-start user recs via trending,Growth,Recommendation-Algo,0.688204,inconclusive,,False,"(0.65, 0.7]"
EXP-0058,Bottom nav bar redesign,Engagement,UI/UX,0.000317,ship,small_positive,True,"(0.0, 0.05]"
EXP-0059,Simplified article header layout,Monetization,UI/UX,0.697387,inconclusive,,False,"(0.65, 0.7]"
EXP-0060,Breaking news vs digest bundling,Monetization,Notifications,0.542522,inconclusive,,True,"(0.5, 0.55]"
EXP-0061,Student tier pricing test,Content-Algo,Pricing/Paywall,0.019084,kill,negative,True,"(0.0, 0.05]"
EXP-0062,Personalized send-time optimization,Content-Algo,Notifications,0.138375,kill,small_positive,False,"(0.1, 0.15]"
EXP-0063,Short-form video summaries on articles,Engagement,Content-Format,0.368636,inconclusive,,False,"(0.35, 0.4]"
EXP-0064,Bottom nav bar redesign,Monetization,UI/UX,0.071665,inconclusive,medium_positive,False,"(0.05, 0.1]"
EXP-0065,Email subject line: emoji vs no emoji,Content-Algo,Notifications,0.35768,inconclusive,small_positive,False,"(0.35, 0.4]"
EXP-0066,Newsletter digest format change,Growth,Content-Format,0.888139,inconclusive,,False,"(0.85, 0.9]"
EXP-0067,Audio narration toggle for articles,Engagement,Content-Format,0.273026,inconclusive,,False,"(0.25, 0.3]"
EXP-0068,Trial extension offer at day 6,Monetization,Pricing/Paywall,0.912285,inconclusive,,False,"(0.9, 0.95]"
EXP-0069,Onboarding email drip: 3-day vs 7-day,Engagement,Onboarding-Flow,0.0,kill,negative,False,
EXP-0070,Student tier pricing test,Monetization,Pricing/Paywall,0.237599,inconclusive,small_positive,True,"(0.2, 0.25]"
EXP-0071,Dark mode default for night readers,Engagement,UI/UX,0.010212,ship,,True,"(0.0, 0.05]"
EXP-0072,Similar-author suggestions widget,Content-Algo,Recommendation-Algo,0.132085,inconclusive,negative,True,"(0.1, 0.15]"
EXP-0073,Bottom nav bar redesign,Growth,UI/UX,0.717375,inconclusive,,False,"(0.7, 0.75]"
EXP-0074,Push notification frequency (2x vs 1x daily),Monetization,Notifications,0.792826,inconclusive,small_positive,False,"(0.75, 0.8]"
EXP-0075,Bottom nav bar redesign,Engagement,UI/UX,0.881764,inconclusive,,False,"(0.85, 0.9]"
EXP-0076,Cold-start user recs via trending,Engagement,Recommendation-Algo,0.218435,inconclusive,negative,False,"(0.2, 0.25]"
EXP-0077,Guided tour vs self-explore,Growth,Onboarding-Flow,0.034553,ship,small_positive,False,"(0.0, 0.05]"
EXP-0078,Short-form video summaries on articles,Growth,Content-Format,0.403143,inconclusive,,True,"(0.4, 0.45]"
EXP-0079,Social proof (X readers joined today),Engagement,Onboarding-Flow,0.215469,kill,,False,"(0.2, 0.25]"
EXP-0080,Thumbnail size increase (1.5x),Content-Algo,Content-Format,0.464874,inconclusive,small_positive,False,"(0.45, 0.5]"
EXP-0081,First-session content sampler,Monetization,Onboarding-Flow,0.589952,kill,small_positive,False,"(0.55, 0.6]"
EXP-0082,Short-form video summaries on articles,Engagement,Content-Format,0.013613,ship,small_positive,False,"(0.0, 0.05]"
EXP-0083,Thumbnail size increase (1.5x),Content-Algo,Content-Format,0.264698,kill,medium_positive,True,"(0.25, 0.3]"
